work,hot,cold,trial,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,rocksdb.compaction.total.time.cpu_micros,rocksdb.bytes.compressed.from,rocksdb.bytes.compressed.to,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG
write,Snappy,ZSTD,1,220.586,0,250473,578996990,3066341831,16407311889,1806087,7280820224,4098299,6065932,3772,1802315,0,0,0,58465301,97330768319,3615392378,1.635306,13.560951,21.811389,769.0,1806087,7437642,4.118097300960585,8.677272,14.61915,32.0,5140830.0,1000000,219062894,219.062894
write,Snappy,ZSTD,2,180.184,0,250735,578986449,3062552888,16407311730,1805927,7287734272,4977542,5831815,3779,1802148,0,0,0,55151634,93652904112,3612717771,2.129639,13.436473,21.034901,783.0,1805927,7758380,4.296065123341087,8.390966,13.782496,18.949625,2687232.0,1000000,178778487,178.778487
write,LZ4,Zlib,3,201.914,0,249712,101472308,410441853,16407310624,1806000,7269777408,5316834,5180412,3776,1802224,0,0,0,93315979,83240077310,486302770,2.374124,19.857951,32.965229,959.0,1806000,11118533,6.15644130675526,8.492793,14.013823,18.904776,3265819.0,1000000,200321007,200.321007
read,none,Zlib,1,44.789,678658,0,0,3598849925,0,1000000,12656820224,814795,5729859,0,1000000,0,0,0,4596047,439648854,1790689,45.857342,102.261858,147.702431,856.0,1000000,43343652,43.343652,0.0,0.0,0.0,0.0,0,0,0
read,none,Zlib,2,42.777,679556,0,0,3086175371,0,1000000,12663570432,237346,4090491,0,1000000,0,0,0,5440245,762866858,3113704,17.975689,138.738602,164.067882,1079.0,1000000,41335900,41.3359,0.0,0.0,0.0,0.0,0,0,0
read,LZ4,ZSTD,3,12.914,680621,0,0,256919,0,1000000,12684460032,1187100,2015641,0,1000000,0,0,0,0,62035857,235966,8.384019,30.290217,33.849701,821.0,1000000,11684504,11.684504,0.0,0.0,0.0,0.0,0,0,0
read,none,ZSTD,3,20.964,678246,0,0,2157055764,0,1000000,12649578496,657846,3671688,0,1000000,0,0,0,1776471,47894597,161135,17.113664,45.694039,59.166735,775.0,1000000,19524937,19.524937,0.0,0.0,0.0,0.0,0,0,0
read,none,Zlib,3,38.164,679093,0,0,1862676064,0,1000000,12656771072,916066,5137652,0,1000000,0,0,0,17244879,4120062282,15461602,33.81952,95.154714,155.674534,826.0,1000000,36741239,36.741239,0.0,0.0,0.0,0.0,0,0,0
read,Snappy,Zlib,3,32.704,678317,0,0,887667,0,1000000,12658491392,1301374,2434934,0,1000000,0,0,0,0,62053024,866706,22.690169,93.732416,108.439571,864.0,1000000,31507389,31.507389,0.0,0.0,0.0,0.0,0,0,0
write,LZ4,ZSTD,3,236.236,0,250615,97797195,474219095,16407310467,1806022,7284211712,4544337,5854402,3777,1802245,0,0,0,41680106,94019919329,543116276,1.967785,9.727489,14.920553,80.0,1806022,6776467,3.7521508597348205,8.448787,14.07533,26.524725,3324370.0,1000000,234779240,234.77924
write,none,Zlib,1,839.996,0,250559,11295733867,28984328526,16407310738,1806094,7282114560,20701923,3754968,3775,1802319,0,0,0,82272638,18745938986,74924336,8.052782,31.039961,41.428188,803.0,1806094,21360165,11.826718321416271,8.780079,28.120656,51.648703,15792446.0,1000000,838017720,838.01772
read,LZ4,Zlib,3,32.779,678964,0,0,326961,0,1000000,12651298816,1215609,3375128,0,1000000,0,0,0,0,62018935,306013,21.182845,92.783376,108.146788,850.0,1000000,31565146,31.565146,0.0,0.0,0.0,0.0,0,0,0
write,none,Zlib,3,541.673,0,250109,11294850123,28671006792,16407311435,1806011,7276101632,19891144,3632083,7719,1798292,0,0,0,72749537,16586167158,66886807,7.902638,32.60534,50.342637,790.0,1806011,21645747,11.985390454432448,8.328988,13.583973,19.558032,9493847.0,1000000,540084395,540.084395
read,LZ4,Zlib,1,40.358,679819,0,0,332663,0,1000000,12665323520,1250950,3722351,0,1000000,0,0,0,0,62002479,311718,22.51137,109.817703,158.124987,915.0,1000000,39040076,39.040076,0.0,0.0,0.0,0.0,0,0,0
write,none,ZSTD,3,496.992,0,249947,11293697474,28630139347,16407311218,1805983,7273906176,9665494,3635828,3772,1802211,0,0,0,38882048,18105639363,59297775,4.730651,13.124705,21.375679,795.0,1805983,10146604,5.618327525785126,8.494503,14.118244,25.359677,7316475.0,1000000,495493315,495.493315
read,none,ZSTD,1,22.138,679586,0,0,1645216581,0,1000000,12667944960,1250832,3785694,0,1000000,0,0,0,1456483,46695586,157064,20.034164,33.647203,46.785827,815.0,1000000,20614659,20.614659,0.0,0.0,0.0,0.0,0,0,0
write,Snappy,Snappy,1,234.981,0,249944,803879736,3809431422,16407311406,1805931,7274708992,6406672,5781933,5030,1800901,0,0,0,57082035,93008353750,4584684446,3.00586,14.663067,21.908086,802.0,1805931,9546053,5.285945587068388,8.506973,14.352917,32.187801,4209739.0,1000000,233529423,233.529423
read,Snappy,Snappy,3,18.913,678674,0,0,3093595,0,1000000,12653805568,1162824,2025128,0,1000000,0,0,0,0,62056292,3072628,9.452199,46.592771,62.517001,787.0,1000000,17727709,17.727709,0.0,0.0,0.0,0.0,0,0,0
read,LZ4,ZSTD,1,17.474,679087,0,0,314149,0,1000000,12655280128,1291130,2844070,0,1000000,0,0,0,0,61969355,293214,15.613969,31.033868,37.423549,792.0,1000000,16328745,16.328745,0.0,0.0,0.0,0.0,0,0,0
write,LZ4,Zlib,2,166.549,0,250011,101491234,460151752,16407311570,1805932,7275790336,10568671,5715562,3776,1802156,0,0,0,100721042,90954479582,533678132,4.912169,26.88818,43.893717,886.0,1805932,14719928,8.150876112721852,8.493881,14.147578,27.834838,2636922.0,1000000,165056572,165.056572
write,Snappy,Snappy,3,272.591,0,250298,803862648,3856983093,16407311133,1806191,7276249088,5230841,5852240,3778,1802413,0,0,0,58275573,93963060474,4631924280,2.242992,14.367537,23.109584,780.0,1806191,8655734,4.792258404565187,8.54793,14.60956,32.161673,4627898.0,1000000,271054977,271.054977
write,Snappy,Snappy,2,224.189,0,250717,804015593,3784357710,16407310457,1806081,7284916224,8287882,5744548,3778,1802303,0,0,0,56615086,92477145645,4559902980,3.321859,15.939533,26.609575,797.0,1806081,10640890,5.891701424243984,8.530086,14.299913,26.874242,3621546.0,1000000,222644205,222.644205
