trial,work,hot_compaction,cold_compaction,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,rocksdb.compaction.total.time.cpu_micros,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG
1,read,universal,level,29.261,0,0,0,3087110,0,1000000,12656967680,1331220,3411691,0,1000000,0,0,0,0,28.148311,48.769716,62.481724,848.0,1000000,28026749,28.026749,0.0,0.0,0.0,0.0,0,0,0
3,read,level,level,24.481,0,0,0,3092785,0,1000000,12649545728,1372530,2847988,0,1000000,0,0,0,0,24.586355,43.241058,49.630174,818.0,1000000,23267983,23.267983,0.0,0.0,0.0,0.0,0,0,0
3,read,universal,level,32.793,0,0,0,10433624,0,1000000,12649938944,629210,4054333,0,1000000,0,0,0,101769,31.220916,50.467251,69.64409,823.0,1000000,31672395,31.672395,0.0,0.0,0.0,0.0,0,0,0
3,write,level,universal,224.189,193919,250717,804015593,3784357710,16407310457,1806081,7284916224,8287882,5744548,3778,1802303,0,0,0,56615086,3.321859,15.939533,26.609575,797.0,1806081,10640890,5.891701424243984,8.530086,14.299913,26.874242,3621546.0,1000000,222644205,222.644205
1,read,level,universal,19.669,0,0,0,8131972,0,1000000,12658507776,983195,2216813,0,1000000,0,0,0,70294,9.685411,47.563234,64.917668,779.0,1000000,18510350,18.51035,0.0,0.0,0.0,0.0,0,0,0
4,write,universal,universal,265.892,193916,250416,803908475,2791742250,16407311177,1806084,7279935488,7536305,4515818,3778,1802306,0,0,0,43116182,2.999305,17.571879,29.329868,776.0,1806084,10311703,5.709426028911169,8.548618,14.482773,29.659122,4050336.0,1000000,264405096,264.405096
2,read,universal,level,30.241,0,0,0,38310396,0,1000000,12664651776,432262,3592572,0,1000000,0,0,0,498513,28.527905,55.899194,72.35739,840.0,1000000,28927863,28.927863,0.0,0.0,0.0,0.0,0,0,0
2,write,universal,universal,267.843,193994,249997,803880565,3044888272,16407311146,1806006,7274348544,5090407,4818764,3775,1802231,0,0,0,47598846,2.33757,13.510449,21.505942,746.0,1806006,8850005,4.900318714334283,8.685068,14.648791,29.728426,3936137.0,1000000,266259121,266.259121
1,read,universal,universal,30.087,0,0,0,25309945,0,1000000,12657852416,374834,3749337,0,1000000,0,0,0,303001,28.996027,50.166943,69.066901,829.0,1000000,28926007,28.926007,0.0,0.0,0.0,0.0,0,0,0
3,read,level,universal,20.867,0,0,0,201724887,0,1000000,12659474432,219891,2672206,0,1000000,0,0,0,2914179,9.283244,50.832027,71.299575,796.0,1000000,19574484,19.574484,0.0,0.0,0.0,0.0,0,0,0
1,write,universal,universal,189.381,194000,250341,803910405,2718485047,16407310661,1806000,7280082944,7320397,4395394,3775,1802225,0,0,0,41440978,3.142556,20.086158,32.678135,809.0,1806000,11035562,6.110499446290144,8.465808,14.063913,21.474232,2785064.0,1000000,187837124,187.837124
3,write,universal,universal,255.594,194047,249561,803827326,2837045640,16407311736,1805953,7268073472,6587878,4667380,5005,1800948,0,0,0,44394300,2.541007,18.457573,37.550428,772.0,1805953,10433172,5.777100511475105,8.535237,14.240576,25.929219,4047580.0,1000000,254089300,254.0893
1,write,level,level,273.904,194042,250751,803862045,5002120935,16407310217,1805958,7287488512,4457920,7258346,3777,1802181,0,0,0,74446269,1.693815,13.262601,21.28375,761.0,1805958,7956665,4.405786291818525,8.55797,14.386999,27.990908,4751897.0,1000000,272291502,272.291502
3,read,universal,universal,24.992,0,0,0,3090090,0,1000000,12655149056,1139531,2951744,0,1000000,0,0,0,0,24.047601,45.62523,52.47214,814.0,1000000,23879845,23.879845,0.0,0.0,0.0,0.0,0,0,0
2,write,level,universal,272.591,193809,250298,803862648,3856983093,16407311133,1806191,7276249088,5230841,5852240,3778,1802413,0,0,0,58275573,2.242992,14.367537,23.109584,780.0,1806191,8655734,4.792258404565187,8.54793,14.60956,32.161673,4627898.0,1000000,271054977,271.054977
1,read,level,level,15.618,0,0,0,3093030,0,1000000,12669501440,1243465,1600788,0,1000000,0,0,0,0,9.192967,32.895421,46.533856,789.0,1000000,14379111,14.379111,0.0,0.0,0.0,0.0,0,0,0
2,write,level,level,279.841,193914,250420,803875109,4981950527,16407310539,1806086,7279968256,5319917,7234497,3779,1802307,0,0,0,75377218,2.341831,13.951853,21.847871,726.0,1806086,8840076,4.894604132915044,8.501222,14.297819,28.211676,4922241.0,1000000,278390515,278.390515
2,read,level,level,18.54,0,0,0,3094461,0,1000000,12662046720,1263859,1965546,0,1000000,0,0,0,0,9.565606,45.804191,61.053149,813.0,1000000,17245368,17.245368,0.0,0.0,0.0,0.0,0,0,0
