workload,compaction_style,value_size,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal,WAF,latency,throughput_ops,throughput_bytes
overwrite,leveled,1KB,1000000,1056000000,578234114,554187213,1056000000,1000000,2.0723686808712123,17.633,56713.0,56.2
fillrandom,leveled,16KB,1000000,16417000000,28807556920,8996802021,16417000000,1000000,3.3027568338307853,568.117,1760.0,27.5
overwrite,leveled,4KB,1000000,4128000000,4132415467,2264135644,4128000000,1000000,2.5495521102228684,106.751,9367.0,36.7
overwrite,leveled,16KB,1000000,16417000000,30046059239,8997781401,16417000000,1000000,3.378256724127429,559.067,1788.0,28.0
fillrandom,leveled,4KB,1000000,4128000000,4046238194,2264579990,4128000000,1000000,2.5287834748062017,105.161,9509.0,37.3
fillrandom,leveled,1KB,1000000,1056000000,573607285,554209671,1056000000,1000000,2.068008481060606,18.891,52933.0,52.5
