trial,work,hot_compaction,cold_compaction,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,rocksdb.compaction.total.time.cpu_micros,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG,WAF,RAF,cache_hit_ratio,memtable_hit_ratio,throughput,case
1,read,level,universal,19.669,0,0,0,8131972,0,1000000,12658507776,983195,2216813,0,1000000,0,0,0,70294,9.685411,47.563234,64.917668,779.0,1000000,18510350,18.51035,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.294307377293189,0.30724766938082654,0.0,0.0,2
4,write,universal,universal,265.892,193916,250416,803908475,2791742250,16407311177,1806084,7279935488,7536305,4515818,3778,1802306,0,0,0,43116182,2.999305,17.571879,29.329868,776.0,1806084,10311703,5.709426028911169,8.548618,14.482773,29.659122,4050336.0,1000000,264405096,264.405096,0.21914929790814439,4.064717373495494,0.6253093334676388,0.0020918185422161982,61706674.80405578,1
2,read,universal,level,30.241,0,0,0,38310396,0,1000000,12664651776,432262,3592572,0,1000000,0,0,0,498513,28.527905,55.899194,72.35739,840.0,1000000,28927863,28.927863,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2936794702123833,0.1073987150774417,0.0,0.0,3
2,write,universal,universal,267.843,193994,249997,803880565,3044888272,16407311146,1806006,7274348544,5090407,4818764,3775,1802231,0,0,0,47598846,2.33757,13.510449,21.505942,746.0,1806006,8850005,4.900318714334283,8.685068,14.648791,29.728426,3936137.0,1000000,266259121,266.259121,0.2345764520921093,4.067663533720278,0.5137066460958237,0.0020902477621890514,61257195.99168169,1
1,read,universal,universal,30.087,0,0,0,25309945,0,1000000,12657852416,374834,3749337,0,1000000,0,0,0,303001,28.996027,50.166943,69.066901,829.0,1000000,28926007,28.926007,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2943743900260687,0.09088711404061568,0.0,0.0,1
3,read,level,universal,20.867,0,0,0,201724887,0,1000000,12659474432,219891,2672206,0,1000000,0,0,0,2914179,9.283244,50.832027,71.299575,796.0,1000000,19574484,19.574484,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2942085461767139,0.07603168220153059,0.0,0.0,2
1,write,universal,universal,189.381,194000,250341,803910405,2718485047,16407310661,1806000,7280082944,7320397,4395394,3775,1802225,0,0,0,41440978,3.142556,20.086158,32.678135,809.0,1806000,11035562,6.110499446290144,8.465808,14.063913,21.474232,2785064.0,1000000,187837124,187.837124,0.21468451014173187,4.064445999806455,0.624831648157602,0.002090254706533776,86636519.29707837,1
3,write,universal,universal,255.594,194047,249561,803827326,2837045640,16407311736,1805953,7268073472,6587878,4667380,5005,1800948,0,0,0,44394300,2.541007,18.457573,37.550428,772.0,1805953,10433172,5.777100511475105,8.535237,14.240576,25.929219,4047580.0,1000000,254089300,254.0893,0.22190551533261854,4.0710559773493715,0.5853155920548423,0.0027713899531161663,64192867.34430386,1
1,write,level,level,273.904,194042,250751,803862045,5002120935,16407310217,1805958,7287488512,4457920,7258346,3777,1802181,0,0,0,74446269,1.693815,13.262601,21.28375,761.0,1805958,7956665,4.405786291818525,8.55797,14.386999,27.990908,4751897.0,1000000,272291502,272.291502,0.35386561863042515,4.060221271467851,0.38048982500055906,0.0020914107637054684,59901681.67314096,0
3,read,universal,universal,24.992,0,0,0,3090090,0,1000000,12655149056,1139531,2951744,0,1000000,0,0,0,0,24.047601,45.62523,52.47214,814.0,1000000,23879845,23.879845,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2946508909140106,0.27852710951964854,0.0,0.0,1
2,write,level,universal,272.591,193809,250298,803862648,3856983093,16407311133,1806191,7276249088,5230841,5852240,3778,1802413,0,0,0,58275573,2.242992,14.367537,23.109584,780.0,1806191,8655734,4.792258404565187,8.54793,14.60956,32.161673,4627898.0,1000000,271054977,271.054977,0.28407127183842135,4.06701763313796,0.4719663241656359,0.00209169462144369,60190215.86552747,2
1,read,level,level,15.618,0,0,0,3093030,0,1000000,12669501440,1243465,1600788,0,1000000,0,0,0,0,9.192967,32.895421,46.533856,789.0,1000000,14379111,14.379111,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2931842722928804,0.4371850886682725,0.0,0.0,0
2,write,level,level,279.841,193914,250420,803875109,4981950527,16407310539,1806086,7279968256,5319917,7234497,3779,1802307,0,0,0,75377218,2.341831,13.951853,21.847871,726.0,1806086,8840076,4.894604132915044,8.501222,14.297819,28.211676,4922241.0,1000000,278390515,278.390515,0.35263705299214976,4.0647035788393415,0.4237487309244382,0.0020923699092955704,58630831.57578768,0
2,read,level,level,18.54,0,0,0,3094461,0,1000000,12662046720,1263859,1965546,0,1000000,0,0,0,0,9.565606,45.804191,61.053149,813.0,1000000,17245368,17.245368,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2939456284046944,0.3913597086769854,0.0,0.0,0
